City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Castanos,MX,75.58,clear sky,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
371,Zherdevka,RU,74.97,few clouds,51.8486,41.4606,Юнона
373,Buluang,PH,80.28,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
374,Panaba,MX,72.97,few clouds,21.2833,-88.2667,Hotel Don Fernando
379,Alice,US,80.76,overcast clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
382,Celestun,MX,75.06,few clouds,20.8667,-90.4,Posada Lilia
383,Panacan,PH,82.76,scattered clouds,9.2463,118.4082,Mom's Place Resort
384,Yenagoa,NG,85.41,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
387,Nishihara,JP,78.85,overcast clouds,26.1842,127.7558,Minshuku Agaihama
392,Naze,JP,74.32,moderate rain,28.3667,129.4833,Shishime Hotel
395,Vanimo,PG,79.27,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
396,High Point,US,71.58,overcast clouds,35.9557,-80.0053,JH Adams Inn | Trademark Collection by Wyndham
397,High Rock,BS,80.62,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
403,Saint-Francois,FR,81.84,clear sky,46.4154,3.9054,Manoir Du Bonheur
407,Pafos,CY,80.38,few clouds,34.7667,32.4167,Elysium Hotel
408,Monforte De Lemos,ES,81.32,scattered clouds,42.5216,-7.5142,Hotel Cardenal
410,Kasempa,ZM,77.31,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
413,Ivanteyevka,RU,75.74,clear sky,55.9711,37.9208,New Slides
414,Gat,IL,87.4,clear sky,31.61,34.7642,OlusHome
416,Dhidhdhoo,MV,82.04,overcast clouds,6.8833,73.1,Dhidhoo beach
417,Puerto Palomas,MX,82.72,overcast clouds,31.7667,-107.6167,Hotel San Carlos
418,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
424,Manaure,CO,82.47,overcast clouds,11.7751,-72.4445,Hotel Palaaima
426,Borovoy,RU,81.68,clear sky,55.4333,86.0833,Tsimus
428,Camopi,GF,74.43,broken clouds,3.1655,-52.3158,La pousada
430,Floresti,MD,76.33,scattered clouds,47.8933,28.3014,Floresti
433,Yei,SS,89.49,few clouds,4.095,30.6779,Twins Hotel Yei
