City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Khandyga,RU,62.6667,135.6,62.22,58,100,2.51,overcast clouds
254,North Bend,US,43.4065,-124.2243,56.25,97,100,8.05,overcast clouds
255,Carberry,CA,49.8689,-99.3602,59.23,96,100,12.68,overcast clouds
256,Canico,PT,32.6333,-16.85,74.03,75,20,9.22,few clouds
257,Tete,MZ,-16.1564,33.5867,80.69,44,75,11.5,broken clouds
258,Hasaki,JP,35.7333,140.8333,63.28,86,27,10.22,scattered clouds
259,Lata,PT,40.1629,-8.3327,88.07,28,38,3.49,scattered clouds
260,Nador,MA,35.174,-2.9287,78.87,73,75,6.91,broken clouds
261,Mangan,IN,27.5167,88.5333,79.5,89,89,3.67,light rain
262,Deputatskiy,RU,69.3,139.9,58.55,39,53,16.6,broken clouds
263,Ozernovskiy,RU,51.5,156.5167,44.51,89,97,6.17,overcast clouds
264,Kaili,ID,-3.4626,120.2147,67.6,97,100,2.62,overcast clouds
265,Qovlar,AZ,40.948,45.735,80.87,46,100,6.33,overcast clouds
266,Yala,TH,6.3333,101.25,84.6,91,94,3.27,overcast clouds
267,Cuamba,MZ,-14.8031,36.5372,79.27,33,2,5.7,clear sky
268,Hanzhong,CN,33.0728,107.0303,80.6,63,6,3.02,clear sky
269,Carnarvon,AU,-24.8667,113.6333,71.64,61,14,6.89,few clouds
270,Iquitos,PE,-3.7481,-73.2472,69.84,94,100,3.44,overcast clouds
271,Umarkot,PK,25.3616,69.7362,104.23,25,0,19.64,clear sky
272,Pangnirtung,CA,66.1451,-65.7125,32.36,95,93,1.21,overcast clouds
273,Dukat,RU,62.55,155.55,33.58,91,88,2.95,overcast clouds
274,Sikasso,ML,10.9167,-7.0,92.21,41,31,5.12,scattered clouds
275,Richards Bay,ZA,-28.783,32.0377,75.47,35,44,8.57,scattered clouds
276,Tautira,PF,-17.7333,-149.15,78.08,78,75,22.41,broken clouds
277,Monrovia,LR,6.3005,-10.7969,81.59,75,100,6.82,overcast clouds
278,Baykit,RU,61.67,96.37,70.16,42,100,9.35,overcast clouds
279,Tamandare,BR,-8.7597,-35.1047,76.93,83,26,2.91,scattered clouds
280,Bagnes,CH,46.0833,7.2167,85.15,29,0,4.61,clear sky
281,Pisco,PE,-13.7,-76.2167,55.45,94,100,4.61,mist
282,Rawson,AR,-43.3002,-65.1023,52.92,31,100,9.62,overcast clouds
283,Nanortalik,GL,60.1432,-45.2371,40.19,91,100,1.43,moderate rain
284,Clyde River,CA,70.4692,-68.5914,32.23,93,100,8.05,light snow
285,Hammerfest,NO,70.6634,23.6821,43.25,87,75,25.32,broken clouds
286,San Juan,AR,-31.5375,-68.5364,45.7,54,11,1.74,few clouds
287,Kokopo,PG,-4.352,152.2633,77.67,82,81,7.29,light rain
288,Buraydah,SA,26.326,43.975,108.05,7,0,3.42,clear sky
289,Ipixuna,BR,-1.7625,-48.8043,74.48,96,56,3.0,broken clouds
290,Great Bend,US,38.3645,-98.7648,77.13,84,20,10.36,few clouds
291,Natal,BR,-5.795,-35.2094,80.82,83,20,6.91,light rain
292,Kampot,KH,10.6167,104.1833,86.05,78,99,9.6,moderate rain
293,Sarangani,PH,5.4033,125.4636,85.03,71,82,13.65,broken clouds
294,Gizo,SB,-8.103,156.8419,82.06,74,23,5.21,few clouds
295,Kidal,ML,18.4411,1.4078,95.52,25,97,7.67,overcast clouds
296,Sao Filipe,CV,14.8961,-24.4956,77.07,67,10,7.09,clear sky
297,New Sibonga,PH,7.5609,125.9298,75.97,93,88,1.77,overcast clouds
298,Landshut,DE,48.5333,12.15,83.32,45,0,1.01,light rain
299,Requena,ES,39.4883,-1.1004,83.79,17,23,10.02,few clouds
300,Aykhal,RU,66.0,111.5,57.38,54,52,11.48,broken clouds
301,Kisangani,CD,0.5167,25.2,85.19,58,90,3.8,overcast clouds
302,Aksarka,RU,66.5606,67.7975,46.96,83,100,25.9,overcast clouds
303,Lafiagi,NG,8.8667,5.4167,92.59,48,61,1.48,broken clouds
304,Vao,NC,-22.6667,167.4833,71.17,82,97,8.37,overcast clouds
305,Hope,US,33.6671,-93.5916,78.85,95,43,5.17,scattered clouds
306,Keningau,MY,5.3378,116.1602,74.52,97,82,2.66,heavy intensity rain
307,Nizhnyaya Omka,RU,55.4338,74.9426,68.7,64,82,10.36,broken clouds
308,Provideniya,RU,64.3833,-173.3,36.59,70,93,2.35,overcast clouds
309,Araucaria,BR,-25.5931,-49.4103,42.57,61,64,5.86,broken clouds
310,Baijiantan,CN,45.6333,85.1833,103.33,9,91,6.2,overcast clouds
311,Omboue,GA,-1.5746,9.2618,80.1,76,34,7.99,scattered clouds
312,Monticello,US,45.3055,-93.7941,63.32,88,100,9.22,overcast clouds
313,Itororo,BR,-15.1169,-40.0703,72.32,83,100,0.6,overcast clouds
314,Chokurdakh,RU,70.6333,147.9167,59.22,33,62,14.05,broken clouds
315,Ayagoz,KZ,47.9714,80.4392,90.27,19,95,7.74,overcast clouds
316,Talara,PE,-4.5772,-81.2719,63.36,88,75,19.57,broken clouds
317,Cayenne,GF,4.9333,-52.3333,82.09,1,75,0.0,broken clouds
318,Whyalla,AU,-33.0333,137.5833,54.32,69,100,9.33,overcast clouds
319,Fort Nelson,CA,58.8053,-122.7002,51.39,62,75,4.61,broken clouds
320,Aljezur,PT,37.3191,-8.8033,83.73,39,0,5.37,clear sky
321,Suntar,RU,62.1444,117.6319,59.5,53,71,4.88,broken clouds
322,Ende,ID,-8.8432,121.6623,76.98,85,100,5.55,overcast clouds
323,Bouloupari,NC,-21.8667,166.05,69.71,90,91,2.35,overcast clouds
324,Ust-Ishim,RU,57.6935,71.1665,65.46,85,60,6.51,light rain
325,Windhoek,NA,-22.5594,17.0832,70.29,32,0,13.8,clear sky
326,Almonte,ES,37.2647,-6.5167,98.28,12,11,8.37,few clouds
327,Lompoc,US,34.6391,-120.4579,57.56,98,100,1.99,mist
328,Inndyr,NO,67.0338,14.0276,62.94,61,92,6.69,overcast clouds
329,Toledo,ES,39.8333,-4.0,89.31,23,85,3.11,overcast clouds
330,Zambezi,ZM,-13.5432,23.1047,78.33,29,0,7.14,clear sky
331,Parfenyevo,RU,58.484,43.4088,66.85,33,12,7.0,few clouds
332,Zhezkazgan,KZ,47.8043,67.7144,84.18,20,75,15.66,broken clouds
333,Nioki,CD,-2.7167,17.6833,97.59,24,81,2.71,broken clouds
334,Jutai,BR,-5.1833,-68.9,68.52,85,100,3.6,overcast clouds
335,Lumphat,KH,13.4878,106.9816,82.02,84,86,4.12,overcast clouds
336,Kosh-Agach,RU,50.0,88.6667,77.04,25,84,12.06,light rain
337,Pevek,RU,69.7008,170.3133,37.35,64,93,4.5,overcast clouds
338,Khorinsk,RU,52.1657,109.7726,70.74,35,12,11.41,few clouds
339,Denpasar,ID,-8.65,115.2167,80.26,83,75,5.75,light rain
340,Lasa,IT,46.6166,10.7002,77.88,27,6,3.06,clear sky
341,Goyty,RU,43.1642,45.6228,85.37,27,74,8.5,broken clouds
342,Pandan,PH,14.0453,124.1694,82.42,78,44,8.1,scattered clouds
343,Taksimo,RU,56.3444,114.8794,69.1,35,64,4.36,broken clouds
