City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
536,Yakeshi,100,CN,2022-06-11 14:44:02,80,49.2833,120.7333,56.25,7.34
537,Olinda,100,BR,2022-06-11 14:43:39,94,-8.0089,-34.8553,74.93,2.3
538,Maragogi,15,BR,2022-06-11 14:44:02,77,-9.0122,-35.2225,80.35,3.98
539,Louny,98,CZ,2022-06-11 14:44:03,37,50.357,13.7967,80.58,4.63
540,Gorontalo,40,ID,2022-06-11 14:44:03,95,0.5412,123.0595,74.86,3.04
541,Madimba,7,TZ,2022-06-11 14:44:03,68,-10.4,40.3333,77.59,14.79
542,Te Anau,86,NZ,2022-06-11 14:44:04,96,-45.4167,167.7167,37.74,5.77
543,Hay River,75,CA,2022-06-11 14:45:04,77,60.8156,-115.7999,60.78,4.61
544,Whitehorse,75,CA,2022-06-11 14:45:04,70,60.7161,-135.0538,46.81,10.36
545,Ranaghat,61,IN,2022-06-11 14:45:05,69,23.1833,88.5833,87.85,17.6
546,Poli,82,TZ,2022-06-11 14:45:05,63,-3.3333,36.8,65.39,7.29
547,Omboue,55,GA,2022-06-11 14:45:06,76,-1.5746,9.2618,79.61,10.76
548,Noumea,76,NC,2022-06-11 14:45:06,99,-22.2763,166.4572,72.0,0.54
549,Nagato,13,JP,2022-06-11 14:45:08,94,34.3833,131.2,66.2,11.23
550,Alvand,2,IR,2022-06-11 14:45:08,59,36.3187,49.1678,62.2,9.08
551,Turba,20,EE,2022-06-11 14:45:08,64,59.0831,24.225,73.06,9.22
552,Saint-Georges,75,GD,2022-06-11 14:45:08,70,12.0564,-61.7485,85.68,26.46
553,Vila Do Maio,37,CV,2022-06-11 14:45:09,83,15.1333,-23.2167,84.99,8.01
554,Banjar,75,ID,2022-06-11 14:45:09,90,-8.19,114.9675,77.76,2.98
555,Groningen,75,NL,2022-06-11 14:44:12,49,53.25,6.75,74.21,11.5
556,West Wendover,0,US,2022-06-11 14:45:10,19,40.7391,-114.0733,78.01,3.44
557,Ola,100,RU,2022-06-11 14:45:10,98,59.5833,151.2833,35.15,5.46
558,Normandin,60,CA,2022-06-11 14:45:11,48,48.8333,-72.5321,66.51,1.14
559,Upington,0,ZA,2022-06-11 14:45:11,18,-28.4478,21.2561,77.38,13.8
560,Mabaruma,100,GY,2022-06-11 14:45:11,84,8.2,-59.7833,80.64,6.49
561,Aukra,75,NO,2022-06-11 14:45:12,55,62.7925,6.919,68.76,10.36
562,Manokwari,35,ID,2022-06-11 14:45:12,75,-0.8667,134.0833,78.62,2.13
563,Marmarion,89,GR,2022-06-11 14:45:13,65,38.0484,24.3204,83.73,7.99
